num_If,num_Switch,num_Loof,num_Break,num_Priority,num_Sort,num_Hash_Map,num_Hash_Set,num_Recursive,num_Nasted_Loop,num_Variables,num_Method,num_State,complexity
0,0,0,0,0,0,0,0,0,0,2,1,0,2
1,0,1,0,0,0,0,0,0,0,3,1,5,2
2,0,0,0,0,0,0,0,0,0,4,1,4,2
0,0,1,0,0,0,0,0,1,0,6,2,3,2
11,0,0,0,0,0,0,0,0,0,7,1,26,2
6,0,3,0,0,1,0,0,3,0,13,11,25,2
2,0,3,0,0,0,0,0,1,0,9,6,11,2
0,0,5,0,0,0,0,0,0,2,12,8,12,2
0,0,0,0,0,0,0,0,0,0,10,1,0,2
0,0,0,0,0,0,0,0,0,0,3,1,0,2
0,0,0,0,0,0,0,0,0,0,2,1,1,2
4,0,1,0,0,0,0,0,0,0,6,1,10,2
10,0,2,0,0,0,0,0,1,0,9,8,30,2
1,0,0,0,0,0,0,0,0,0,4,1,1,2
9,0,22,0,0,4,1,1,5,2,34,21,66,2
2,0,1,0,0,0,0,0,2,0,6,6,15,2
10,0,6,0,0,0,0,0,5,0,13,17,49,2
3,0,0,0,0,0,0,0,0,0,4,1,9,2
2,0,0,0,0,0,0,0,0,0,7,1,2,2
1,0,0,0,0,0,0,0,0,0,6,2,4,2
0,0,2,0,0,0,0,0,0,0,9,1,2,2
0,0,0,0,0,0,0,0,0,0,10,1,0,2
1,0,0,0,0,0,0,0,1,0,1,4,4,2
1,0,0,0,0,0,0,0,1,0,1,3,3,2
2,0,1,1,0,0,0,0,0,0,4,1,5,2
2,0,0,0,0,0,0,0,0,0,7,1,5,2
0,0,0,0,0,0,0,0,0,0,7,1,1,2
0,0,5,0,0,0,0,0,0,2,8,8,12,2
0,0,0,0,0,0,0,0,0,0,3,2,1,2
0,0,2,0,0,0,0,0,1,0,8,8,15,2
0,0,1,0,0,0,0,0,0,0,7,1,2,2
0,0,4,0,0,0,0,0,1,0,9,8,13,2
2,0,0,0,0,0,0,0,0,0,9,1,4,2
7,0,0,0,0,0,0,0,1,0,8,5,18,2
1,0,1,0,0,0,0,0,1,0,9,5,8,2
1,0,0,0,0,0,0,0,0,0,5,1,1,2
3,0,4,0,0,0,0,0,2,0,11,9,23,2
0,0,1,0,0,0,0,0,1,0,5,7,10,2
1,0,0,0,0,0,0,0,0,0,12,2,4,2
1,0,0,0,0,0,0,0,0,0,10,1,2,2
2,0,0,0,0,0,0,0,1,0,8,6,9,2
1,0,0,0,0,0,0,0,0,0,4,1,1,2
3,0,1,0,0,0,0,0,1,0,3,5,15,2
2,0,1,0,0,0,0,0,2,0,6,6,15,2
7,0,1,0,0,0,0,0,3,0,10,10,27,2
5,0,1,0,0,0,0,0,1,0,7,6,16,2
1,0,1,0,0,0,0,0,1,0,3,4,7,2
6,0,1,0,0,0,0,0,1,0,5,8,30,2
0,0,0,0,0,0,0,0,0,0,7,1,0,2
12,0,21,1,0,0,0,0,4,2,35,23,93,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
6,0,1,0,0,0,0,0,2,0,3,9,20,2
2,0,1,1,0,0,0,0,1,0,6,4,11,2
1,0,0,0,0,0,0,0,0,0,3,1,2,2
4,0,0,0,0,0,0,0,0,0,4,1,10,2
5,0,0,0,0,0,0,0,0,0,14,1,15,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
4,0,6,0,0,0,0,0,5,0,7,18,37,2
0,0,0,0,0,0,0,0,0,0,1,1,0,2
2,0,3,0,0,0,0,0,2,0,10,6,13,2
2,0,6,0,0,0,0,0,0,5,13,1,13,2
8,0,1,0,0,0,0,0,5,0,9,10,32,2
2,0,0,0,0,0,0,0,0,0,2,1,2,2
21,0,16,0,0,4,0,0,6,0,35,17,86,2
1,0,0,0,0,0,0,0,0,0,5,1,2,2
21,0,6,0,0,0,0,0,4,0,52,32,87,2
2,0,7,0,0,0,0,0,1,2,19,8,19,2
3,0,3,0,0,0,1,0,3,0,11,8,20,2
3,0,3,0,0,0,1,0,3,0,11,8,20,2
0,0,1,0,0,0,0,0,1,0,7,5,7,2
1,0,1,0,0,0,0,0,1,0,6,4,9,2
2,0,1,0,0,0,0,0,1,0,5,5,11,2
5,0,6,0,0,0,1,0,0,2,13,4,23,2
1,0,0,0,0,0,0,0,0,0,5,1,3,2
1,0,2,0,0,0,0,0,1,0,7,8,14,2
1,0,0,0,0,0,0,0,0,0,4,2,4,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
5,0,5,0,0,0,0,0,0,0,14,6,26,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
2,0,0,0,0,0,0,0,0,0,7,1,5,2
7,0,5,0,0,0,0,0,0,0,14,6,28,2
3,0,6,0,0,0,0,0,0,3,17,3,15,2
6,0,8,0,0,0,0,1,2,3,22,8,32,2
2,0,0,0,0,0,0,0,0,0,3,1,2,2
0,0,0,0,0,0,0,0,0,0,2,1,0,2
1,0,0,0,0,0,0,0,0,0,7,1,1,2
10,0,0,0,0,0,0,0,0,0,24,2,31,2
3,0,6,0,0,0,0,0,1,0,10,8,26,2
0,0,0,0,0,0,0,0,0,0,2,1,0,2
17,0,8,0,0,0,0,0,2,2,36,17,90,2
3,0,1,0,0,0,0,0,2,0,2,9,13,2
9,0,12,0,1,0,1,1,5,2,30,17,49,2
1,0,5,0,0,0,0,0,0,2,9,8,13,2
5,0,1,0,0,0,0,0,0,0,3,4,13,2
2,0,0,0,0,0,0,0,2,0,1,4,5,2
7,0,0,0,0,0,0,0,0,0,2,2,17,2
0,0,0,0,0,0,0,0,0,0,4,1,0,2
2,0,0,0,0,0,0,0,0,0,4,1,5,2
1,0,0,0,0,0,0,0,0,0,3,1,1,2
2,0,0,0,0,0,0,0,0,0,6,1,4,2
1,0,1,0,0,0,0,0,1,0,10,6,12,2
0,0,2,0,0,0,0,0,0,0,2,3,5,2
