num_If,num_Loof,num_Recursive,num_Variables,num_Methods,num_Statements,complexity
0,0,0,2,1,0,2
1,1,0,3,1,5,2
2,0,0,4,1,4,2
0,1,1,6,2,3,2
11,0,0,7,1,26,2
6,3,3,13,11,25,2
2,3,1,9,6,11,2
0,5,0,12,8,12,2
0,0,0,10,1,0,2
0,0,0,3,1,0,2
0,0,0,2,1,1,2
4,1,0,6,1,10,2
10,2,1,9,8,30,2
1,0,0,4,1,1,2
9,22,5,34,21,66,2
2,1,2,6,6,15,2
10,6,5,13,17,49,2
3,0,0,4,1,9,2
2,0,0,7,1,2,2
1,0,0,6,2,4,2
0,2,0,9,1,2,2
0,0,0,10,1,0,2
1,0,1,1,4,4,2
1,0,1,1,3,3,2
2,1,0,4,1,5,2
2,0,0,7,1,5,2
0,0,0,7,1,1,2
0,5,0,8,8,12,2
0,0,0,3,2,1,2
0,2,1,8,8,15,2
0,1,0,7,1,2,2
0,4,1,9,8,13,2
2,0,0,9,1,4,2
7,0,1,8,5,18,2
1,1,1,9,5,8,2
1,0,0,5,1,1,2
3,4,2,11,9,22,2
0,1,1,5,7,10,2
1,0,0,12,2,4,2
1,0,0,10,1,2,2
2,0,1,8,6,9,2
1,0,0,4,1,1,2
3,1,1,3,5,15,2
2,1,2,6,6,15,2
7,1,3,10,10,26,2
5,1,1,7,6,16,2
1,1,1,3,4,7,2
6,1,1,5,8,30,2
0,0,0,7,1,0,2
12,21,4,35,23,93,2
1,0,0,2,1,1,2
1,0,0,2,1,1,2
6,1,2,3,9,20,2
2,1,1,6,4,11,2
1,0,0,3,1,2,2
4,0,0,4,1,10,2
5,0,0,14,1,15,2
1,1,0,2,1,5,2
4,6,5,7,18,37,2
0,0,0,1,1,0,2
2,3,2,10,6,13,2
2,6,0,13,1,13,2
8,1,5,9,10,31,2
2,0,0,2,1,2,2
21,16,6,35,17,83,2
1,0,0,5,1,2,2
21,6,4,52,32,87,2
2,7,1,19,8,19,2
3,3,3,11,8,20,2
3,3,3,11,8,20,2
0,1,1,7,5,7,2
1,1,1,6,4,9,2
2,1,1,5,5,11,2
5,6,0,13,4,23,2
1,0,0,5,1,3,2
1,2,1,7,8,14,2
1,0,0,4,2,4,2
1,1,0,2,1,5,2
1,1,0,2,1,5,2
5,5,0,14,6,26,2
1,0,0,2,1,1,2
2,0,0,7,1,5,2
7,5,0,14,6,28,2
3,6,0,17,3,15,2
6,8,2,22,8,32,2
2,0,0,3,1,2,2
0,0,0,2,1,0,2
1,0,0,7,1,1,2
10,0,0,24,2,31,2
3,6,1,10,8,26,2
0,0,0,2,1,0,2
17,8,2,36,17,86,2
3,1,2,2,9,13,2
9,12,5,30,17,49,2
1,5,0,9,8,13,2
5,1,0,3,4,13,2
2,0,2,1,4,5,2
7,0,0,2,2,17,2
0,0,0,4,1,0,2
2,0,0,4,1,5,2
1,0,0,3,1,1,2
2,0,0,6,1,4,2
1,1,1,10,6,12,2
0,2,0,2,3,5,2
3,1,0,4,3,7,2
3,0,0,2,1,7,2
5,1,1,2,7,19,2
6,0,0,10,2,10,2
6,4,0,14,2,19,2
24,5,2,12,8,72,2
24,1,0,14,1,34,2
6,0,0,2,1,15,2
0,1,0,7,1,2,2
10,2,5,17,10,34,2
1,0,0,4,1,1,2
3,2,2,10,8,17,2
0,0,0,4,1,0,2
2,0,0,6,1,4,2
0,0,0,12,1,0,2
0,1,1,2,2,3,2
4,2,1,34,10,28,2
1,0,0,2,1,1,2
0,1,0,5,1,2,2
0,1,0,4,1,2,2
3,0,0,2,1,8,2
4,1,0,14,2,10,2
4,3,2,11,7,22,2
0,5,0,12,8,12,2
0,0,0,4,1,0,2
6,0,0,4,1,10,2
1,1,0,2,1,5,2
2,1,1,4,6,13,2
2,6,0,10,2,15,2
2,5,0,8,8,14,2
6,3,1,10,6,25,2
1,0,0,6,1,1,2
26,10,5,23,22,104,2
16,7,4,50,12,61,2
0,5,0,8,8,12,2
21,15,6,34,21,84,2
0,0,0,1,2,1,2
5,1,1,5,3,13,4
10,2,0,15,6,37,4
7,3,1,8,7,33,4
5,1,0,6,1,10,4
16,7,2,22,12,58,4
10,2,0,15,6,37,4
12,2,0,15,6,43,4
5,2,2,12,6,25,4
5,3,3,6,9,26,4
4,2,3,12,7,18,4
4,1,0,6,1,9,4
3,2,0,7,3,10,4
3,1,0,7,2,6,4
3,1,2,12,4,16,4
7,0,1,5,2,16,4
5,1,2,2,4,22,4
5,0,2,7,2,14,4
4,1,1,13,2,16,4
4,2,0,8,3,18,4
7,0,1,5,2,16,4
7,0,2,2,3,19,4
2,1,1,5,2,9,4
4,1,0,14,2,15,4
3,2,1,3,4,16,4
10,2,1,10,3,34,4
5,2,0,11,4,22,4
4,1,0,9,2,13,4
2,1,0,5,2,9,4
2,1,0,4,2,9,4
10,0,2,3,3,24,4
0,2,0,3,3,5,4
5,0,1,3,2,11,4
5,0,1,19,2,11,4
4,0,1,6,2,9,4
4,1,2,2,4,13,4
11,0,2,6,4,25,4
9,0,1,6,3,20,4
7,0,1,5,2,16,4
4,2,1,8,3,14,4
3,0,1,3,2,8,4
5,0,1,3,2,11,4
2,0,2,3,3,6,4
5,0,1,19,2,11,4
6,0,1,6,2,13,4
3,0,1,4,2,8,4
3,0,1,4,2,7,4
6,3,1,15,8,24,4
4,4,1,8,6,24,4
5,1,0,6,1,10,4
3,2,0,10,2,12,4
7,0,2,8,4,19,4
5,1,0,5,1,17,4
0,1,0,5,1,2,0
17,15,3,37,18,82,0
21,16,3,40,20,94,0
3,2,0,8,1,10,0
3,4,0,8,1,13,0
3,2,0,7,1,10,0
13,15,3,45,18,75,0
16,16,3,45,20,86,0
3,3,0,7,2,10,0
7,5,0,3,2,26,0
7,6,0,27,5,32,0
3,5,1,14,9,24,0
5,5,2,12,8,25,0
2,3,0,7,1,9,0
2,2,0,10,1,8,0
11,4,3,13,9,37,0
1,2,0,5,1,5,0
4,4,0,10,1,11,0
9,5,1,9,6,44,0
3,4,0,9,1,14,0
0,2,0,5,2,2,0
4,3,0,7,2,11,0
2,3,0,7,2,8,0
2,4,0,9,2,13,0
6,2,0,8,4,19,0
1,1,0,6,2,4,0
6,4,0,9,4,21,0
3,2,0,8,2,5,0
1,2,0,8,3,7,0
0,2,0,4,2,5,0
1,2,0,5,2,4,0
1,1,1,3,3,3,0
1,2,0,6,2,6,0
3,1,0,5,2,6,0
2,1,0,5,2,6,0
0,1,0,4,2,6,0
1,1,0,4,2,4,0
3,1,0,9,2,9,0
0,1,0,3,2,2,0
1,1,0,3,2,4,0
0,1,0,1,2,1,0
2,1,1,2,2,6,0
1,0,1,1,2,3,0
0,1,0,3,2,2,0
0,3,0,6,3,4,0
3,1,0,4,2,5,0
4,0,1,1,2,9,0
4,1,0,3,2,8,0
1,5,1,7,4,8,0
0,1,0,3,2,2,0
0,1,0,5,2,3,0
1,1,0,5,2,4,0
3,1,0,4,2,8,0
0,1,0,6,2,3,0
3,1,0,4,2,8,0
3,1,0,6,2,9,0
0,1,0,3,2,2,0
0,1,0,3,2,3,0
2,1,0,4,2,5,0
2,1,0,3,2,6,0
0,4,0,6,2,5,0
3,2,0,9,2,9,0
1,3,0,7,2,7,0
5,0,1,3,2,11,0
0,1,0,5,3,3,0
3,4,0,8,2,8,0
3,0,6,1,7,6,0
2,0,2,4,3,5,0
4,0,3,4,6,9,0
2,2,0,5,3,7,0
7,2,1,5,6,21,0
3,0,1,3,3,6,0
3,0,1,2,2,5,0
5,3,0,5,2,12,0
5,1,0,3,2,11,0
2,2,0,3,2,6,0
4,1,0,3,2,9,0
1,2,0,6,2,5,0
5,1,5,4,8,15,0
3,0,2,3,5,7,0
7,1,0,5,2,16,0
9,0,4,1,5,17,0
3,1,1,7,4,10,0
2,0,2,3,3,5,0
4,2,0,6,2,10,0
3,0,3,7,4,8,0
2,3,2,3,6,11,0
2,1,1,1,3,6,0
2,1,1,1,3,5,0
3,0,2,2,4,6,0
2,0,2,2,3,5,0
3,0,2,4,4,8,0
2,2,1,5,3,8,0
4,0,2,5,3,7,0
6,2,1,5,3,15,0
4,3,0,9,4,14,0
5,0,1,2,2,9,0
10,0,1,3,3,18,0
5,0,2,3,4,12,0
4,0,2,2,3,11,0
10,2,0,8,2,22,0
